,title,movie_text_data
91,Cleopatra,"Cleopatra Cleopatra Biography, Drama, History J. Gordon Edwards Adrian Johnson, Émile Moreau Fox Film Corporation Theda Bara, Fritz Leiber, Thurston Hall, Alan Roscoe, Herschel Mayall, Dorothy Drake, Delle Duncan, Henri De Vries, Art Acord, Hector V. Sarno, Genevieve Blinn The story of Cleopatra, the fabulous queen of Egypt, and the epic romances between her and the greatest men of Rome, Julius Caesar and Antony."
93,A Girl's Folly,"A Girl's Folly A Girl's Folly Comedy Maurice Tourneur Frances Marion, Maurice Tourneur Paragon Films Robert Warwick, Doris Kenyon, June Elvidge, Jane Adair, Chester Barnett, Johnny Hines A restless young girl yearns to leave her rural environment and ""get away from it all"". One day she stumbles upon a film crew shooting a western near her home. She makes friends with the ..."
95,Joan the Woman,"Joan the Woman Joan the Woman Adventure, Drama, History Cecil B. DeMille Jeanie Macpherson, William C. de Mille Paramount Pictures Geraldine Farrar, Raymond Hatton, Hobart Bosworth, Theodore Roberts, Wallace Reid, Charles Clary, James Neill, Tully Marshall, Lawrence Peyton, Horace B. Carpenter, Cleo Ridgely, Lillian Leighton, Marjorie Daw, Ernest Joy, John Oaker A WWI English officer is inspired the night before a dangerous mission by a vision of Joan of Arc, whose story he relives."
96,The Little American,"The Little American The Little American Drama, Romance, War Cecil B. DeMille, Joseph Levering Jeanie Macpherson Mary Pickford Company Mary Pickford, Jack Holt, Raymond Hatton, Hobart Bosworth, Walter Long, James Neill, Ben Alexander, Guy Oliver, Edythe Chapman, Lillian Leighton, DeWitt Jennings A young American has her ship torpedoed by a German U-boat but makes it back to ancestral home in France, where she witnesses German brutality firsthand."
97,The Little Princess,"The Little Princess The Little Princess Drama Marshall Neilan Frances Hodgson Burnett, Frances Marion Mary Pickford Company Mary Pickford, Norman Kerry, Katherine Griffith, Anne Schaefer, Zasu Pitts, W.E. Lawrence, Theodore Roberts, Gertrude Short, Gustav von Seyffertitz, Loretta Blake, George A. McDaniel Little Sara Crewe is placed in a boarding school by her father when he goes off to war, but he does not understand that the headmistress is a cruel, spiteful woman who makes life miserable ..."
99,A Modern Musketeer,"A Modern Musketeer A Modern Musketeer Adventure, Comedy, Western Allan Dwan Allan Dwan, E.P. Lyle Jr. Douglas Fairbanks Pictures Douglas Fairbanks, Marjorie Daw, Kathleen Kirkham, Eugene Ormonde, Edythe Chapman, Frank Campeau, Tully Marshall A restless young man travels west, encountering adventure, romance, and danger."
101,The Poor Little Rich Girl,"The Poor Little Rich Girl The Poor Little Rich Girl Comedy, Drama, Family Maurice Tourneur Eleanor Gates, Frances Marion Artcraft Pictures Corporation Mary Pickford, Madlaine Traverse, Charles Wellesley, Gladys Fairbanks, Frank McGlynn Sr., Emile La Croix, Marcia Harris, Charles Craig, Frank Andrews, Herbert Prior, George Gernon, Maxine Elliott Hicks The wealthy but selfish parents of a lonely young girl begin to rethink what is important to them after a servant's irresponsibility results in a crisis."
102,"Raffles, the Amateur Cracksman","Raffles, the Amateur Cracksman Raffles, the Amateur Cracksman Adventure, Crime, Romance George Irving E.W. Hornung, Anthony Paul Kelly Hyclass Producing Company John Barrymore, Christine Mayo, H. Cooper Cliffe, Frank Morgan, Dudley Hill, Kathryn Adams, Evelyn Brent, Mathilde Brundage, Mike Donlin, Frederick Perry, Nita Allen Gentleman burglar Raffles tries to get his hand on a priceless pearl."
103,Rebecca of Sunnybrook Farm,"Rebecca of Sunnybrook Farm Rebecca of Sunnybrook Farm Comedy, Drama Marshall Neilan Frances Marion, Charlotte Thompson Mary Pickford Company Mary Pickford, Eugene O'Brien, Helen Jerome Eddy, Charles Ogle, Marjorie Daw, Mayme Kelso, Jane Wolfe, Josephine Crowell, Jack McDonald, Violet Wilkey, F.A. Turner, Kate Toncray, Emily Gerdes With her family in financial difficulties, Rebecca is sent to live with her two strict, unfeeling aunts, who do not appreciate the young girl's charm and energy. Rebecca must make new ..."
104,A Romance of the Redwoods,"A Romance of the Redwoods A Romance of the Redwoods Adventure, Comedy, Drama Cecil B. DeMille Cecil B. DeMille, Jeanie Macpherson Artcraft Pictures Corporation Mary Pickford, Elliott Dexter, Tully Marshall, Raymond Hatton, Charles Ogle, Walter Long, Winter Hall A young girl travels west to live with her uncle during the California Gold Rush only to find that he has been killed by Indians and his identity assumed by an outlaw."
